Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,119981,
A,2,Sample X2,128197,
A,3,Sample X3,124784,
A,4,Sample X4,121497,
A,5,Sample X5,122793,
A,6,Sample X6,120575,
A,7,Sample X7,128458,
A,8,Sample X8,118878,
A,9,Sample X9,1761,
A,10,Sample X10,1784,
A,11,Sample X11,1761,
A,12,Sample X12,1734,
A,13,Sample X13,50596,
A,14,Sample X14,77880,
A,15,Sample X15,95563,
A,16,Sample X16,105839,
A,17,Sample X17,117914,
A,18,Sample X18,116031,
A,19,Sample X19,115367,
A,20,Sample X20,120222,
A,21,Sample X21,122228,
A,22,Sample X22,124213,
A,23,Sample X23,119200,
A,24,Sample X24,121338,
B,1,Sample X25,120871,
B,2,Sample X26,126572,
B,3,Sample X27,123364,
B,4,Sample X28,128419,
B,5,Sample X29,123478,
B,6,Sample X30,117672,
B,7,Sample X31,104849,
B,8,Sample X32,115613,
B,9,Sample X33,87894,
B,10,Sample X34,82482,
B,11,Sample X35,87645,
B,12,Sample X36,86007,
B,13,Sample X37,114409,
B,14,Sample X38,124604,
B,15,Sample X39,98915,
B,16,Sample X40,96539,
B,17,Sample X41,118929,
B,18,Sample X42,123932,
B,19,Sample X43,127165,
B,20,Sample X44,112809,
B,21,Sample X45,119684,
B,22,Sample X46,126646,
B,23,Sample X47,131222,
B,24,Sample X48,121216,
C,1,Sample X49,123214,
C,2,Sample X50,2340,
C,3,Sample X51,2269,
C,4,Sample X52,62734,
C,5,Sample X53,128667,
C,6,Sample X54,121727,
C,7,Sample X55,126682,
C,8,Sample X56,120114,
C,9,Sample X57,118788,
C,10,Sample X58,103960,
C,11,Sample X59,97957,
C,12,Sample X60,108179,
C,13,Sample X61,107791,
C,14,Sample X62,120905,
C,15,Sample X63,115558,
C,16,Sample X64,110737,
C,17,Sample X65,117221,
C,18,Sample X66,119154,
C,19,Sample X67,116402,
C,20,Sample X68,108256,
C,21,Sample X69,90738,
C,22,Sample X70,129099,
C,23,Sample X71,130163,
C,24,Sample X72,127043,
D,1,Sample X73,127385,
D,2,Sample X74,65704,
D,3,Sample X75,97591,
D,4,Sample X76,113663,
D,5,Sample X77,118926,
D,6,Sample X78,123129,
D,7,Sample X79,125062,
D,8,Sample X80,103581,
D,9,Sample X81,91643,
D,10,Sample X82,119245,
D,11,Sample X83,114369,
D,12,Sample X84,92763,
D,13,Sample X85,82407,
D,14,Sample X86,81316,
D,15,Sample X87,85637,
D,16,Sample X88,85488,
D,17,Sample X89,92433,
D,18,Sample X90,93440,
D,19,Sample X91,121323,
D,20,Sample X92,119989,
D,21,Sample X93,121868,
D,22,Sample X94,120834,
D,23,Sample X95,119533,
D,24,Sample X96,124260,
E,1,Sample X97,132691,
E,2,Sample X98,89806,
E,3,Sample X99,119781,
E,4,Sample X100,122949,
E,5,Sample X101,118670,
E,6,Sample X102,122608,
E,7,Sample X103,107691,
E,8,Sample X104,124133,
E,9,Sample X105,114372,
E,10,Sample X106,91569,
E,11,Sample X107,88916,
E,12,Sample X108,110970,
E,13,Sample X109,2198,
E,14,Sample X110,2196,
E,15,Sample X111,2237,
E,16,Sample X112,2234,
E,17,Sample X113,2237,
E,18,Sample X114,2209,
E,19,Sample X115,2462,
E,20,Sample X116,77204,
E,21,Sample X117,117803,
E,22,Sample X118,117964,
E,23,Sample X119,123040,
E,24,Sample X120,124101,
F,1,Sample X121,130240,
F,2,Sample X122,71871,
F,3,Sample X123,102957,
F,4,Sample X124,111517,
F,5,Sample X125,127785,
F,6,Sample X126,117649,
F,7,Sample X127,125267,
F,8,Sample X128,109130,
F,9,Sample X129,110919,
F,10,Sample X130,113827,
F,11,Sample X131,90691,
F,12,Sample X132,100949,
F,13,Sample X133,32831,
F,14,Sample X134,43685,
F,15,Sample X135,95666,
F,16,Sample X136,76050,
F,17,Sample X137,91100,
F,18,Sample X138,95917,
F,19,Sample X139,106429,
F,20,Sample X140,125285,
F,21,Sample X141,121459,
F,22,Sample X142,134495,
F,23,Sample X143,125511,
F,24,Sample X144,122226,
G,1,Sample X145,121953,
G,2,Sample X146,16005,
G,3,Sample X147,75364,
G,4,Sample X148,122390,
G,5,Sample X149,122794,
G,6,Sample X150,116414,
G,7,Sample X151,116675,
G,8,Sample X152,118949,
G,9,Sample X153,113335,
G,10,Sample X154,87986,
G,11,Sample X155,115607,
G,12,Sample X156,115300,
G,13,Sample X157,119904,
G,14,Sample X158,120568,
G,15,Sample X159,123980,
G,16,Sample X160,104311,
G,17,Sample X161,119779,
G,18,Sample X162,114051,
G,19,Sample X163,116916,
G,20,Sample X164,127330,
G,21,Sample X165,119951,
G,22,Sample X166,116571,
G,23,Sample X167,127099,
G,24,Sample X168,134429,
H,1,Sample X169,130067,
H,2,Sample X170,133164,
H,3,Sample X171,141785,
H,4,Sample X172,131398,
H,5,Sample X173,128044,
H,6,Sample X174,118266,
H,7,Sample X175,110578,
H,8,Sample X176,107962,
H,9,Sample X177,127866,
H,10,Sample X178,128860,
H,11,Sample X179,127752,
H,12,Sample X180,119130,
H,13,Sample X181,104647,
H,14,Sample X182,106406,
H,15,Sample X183,119508,
H,16,Sample X184,118544,
H,17,Sample X185,125412,
H,18,Sample X186,127426,
H,19,Sample X187,121423,
H,20,Sample X188,125605,
H,21,Sample X189,123447,
H,22,Sample X190,136058,
H,23,Sample X191,131788,
H,24,Sample X192,125121,
I,1,Sample X193,127393,
I,2,Sample X194,135986,
I,3,Sample X195,137087,
I,4,Sample X196,139496,
I,5,Sample X197,124498,
I,6,Sample X198,122045,
I,7,Sample X199,130788,
I,8,Sample X200,119325,
I,9,Sample X201,124463,
I,10,Sample X202,121655,
I,11,Sample X203,120146,
I,12,Sample X204,117517,
I,13,Sample X205,2178,
I,14,Sample X206,13421,
I,15,Sample X207,100584,
I,16,Sample X208,115759,
I,17,Sample X209,121756,
I,18,Sample X210,60538,
I,19,Sample X211,112446,
I,20,Sample X212,124244,
I,21,Sample X213,124221,
I,22,Sample X214,126252,
I,23,Sample X215,126340,
I,24,Sample X216,122861,
J,1,Sample X217,130878,
J,2,Sample X218,129941,
J,3,Sample X219,128207,
J,4,Sample X220,130456,
J,5,Sample X221,127622,
J,6,Sample X222,128361,
J,7,Sample X223,122846,
J,8,Sample X224,122383,
J,9,Sample X225,122395,
J,10,Sample X226,124855,
J,11,Sample X227,128259,
J,12,Sample X228,128355,
J,13,Sample X229,96076,
J,14,Sample X230,113722,
J,15,Sample X231,126056,
J,16,Sample X232,128243,
J,17,Sample X233,125369,
J,18,Sample X234,129193,
J,19,Sample X235,115926,
J,20,Sample X236,127139,
J,21,Sample X237,122937,
J,22,Sample X238,134023,
J,23,Sample X239,133497,
J,24,Sample X240,126555,
K,1,Sample X241,136431,
K,2,Sample X242,121279,
K,3,Sample X243,111230,
K,4,Sample X244,114181,
K,5,Sample X245,87819,
K,6,Sample X246,116550,
K,7,Sample X247,130944,
K,8,Sample X248,125120,
K,9,Sample X249,78841,
K,10,Sample X250,124168,
K,11,Sample X251,112387,
K,12,Sample X252,120923,
K,13,Sample X253,64218,
K,14,Sample X254,121498,
K,15,Sample X255,123422,
K,16,Sample X256,126787,
K,17,Sample X257,119941,
K,18,Sample X258,118149,
K,19,Sample X259,128004,
K,20,Sample X260,132798,
K,21,Sample X261,123146,
K,22,Sample X262,135733,
K,23,Sample X263,140475,
K,24,Sample X264,133505,
L,1,Sample X265,74828,
L,2,Sample X266,125363,
L,3,Sample X267,133740,
L,4,Sample X268,134043,
L,5,Sample X269,133571,
L,6,Sample X270,131844,
L,7,Sample X271,119284,
L,8,Sample X272,108619,
L,9,Sample X273,65613,
L,10,Sample X274,70961,
L,11,Sample X275,137126,
L,12,Sample X276,67457,
L,13,Sample X277,136804,
L,14,Sample X278,123546,
L,15,Sample X279,132776,
L,16,Sample X280,128768,
L,17,Sample X281,127170,
L,18,Sample X282,131104,
L,19,Sample X283,129766,
L,20,Sample X284,143786,
L,21,Sample X285,124144,
L,22,Sample X286,130374,
L,23,Sample X287,68646,
L,24,Sample X288,140179,
M,1,Sample X289,66966,
M,2,Sample X290,123204,
M,3,Sample X291,61357,
M,4,Sample X292,110205,
M,5,Sample X293,66150,
M,6,Sample X294,66429,
M,7,Sample X295,133728,
M,8,Sample X296,139669,
M,9,Sample X297,68012,
M,10,Sample X298,140195,
M,11,Sample X299,139777,
M,12,Sample X300,137291,
M,13,Sample X301,114566,
M,14,Sample X302,123698,
M,15,Sample X303,126668,
M,16,Sample X304,136328,
M,17,Sample X305,122894,
M,18,Sample X306,139707,
M,19,Sample X307,136143,
M,20,Sample X308,129206,
M,21,Sample X309,102321,
M,22,Sample X310,130881,
M,23,Sample X311,132336,
M,24,Sample X312,112134,
N,1,Sample X313,135078,
N,2,Sample X314,64963,
N,3,Sample X315,107976,
N,4,Sample X316,79797,
N,5,Sample X317,126857,
N,6,Sample X318,133243,
N,7,Sample X319,137113,
N,8,Sample X320,140861,
N,9,Sample X321,137418,
N,10,Sample X322,139022,
N,11,Sample X323,136143,
N,12,Sample X324,133203,
N,13,Sample X325,140585,
N,14,Sample X326,138815,
N,15,Sample X327,137349,
N,16,Sample X328,141146,
N,17,Sample X329,143071,
N,18,Sample X330,137415,
N,19,Sample X331,131616,
N,20,Sample X332,135531,
N,21,Sample X333,132440,
N,22,Sample X334,134353,
N,23,Sample X335,135347,
N,24,Sample X336,140080,
O,1,Sample X337,141492,
O,2,Sample X338,114143,
O,3,Sample X339,129340,
O,4,Sample X340,138729,
O,5,Sample X341,142578,
O,6,Sample X342,105329,
O,7,Sample X343,93500,
O,8,Sample X344,135935,
O,9,Sample X345,69747,
O,10,Sample X346,114393,
O,11,Sample X347,138651,
O,12,Sample X348,141324,
O,13,Sample X349,132526,
O,14,Sample X350,127913,
O,15,Sample X351,133218,
O,16,Sample X352,134664,
O,17,Sample X353,133007,
O,18,Sample X354,131056,
O,19,Sample X355,133654,
O,20,Sample X356,132749,
O,21,Sample X357,128267,
O,22,Sample X358,84210,
O,23,Sample X359,133633,
O,24,Sample X360,92007,
P,1,Sample X361,142117,
P,2,Sample X362,120980,
P,3,Sample X363,136466,
P,4,Sample X364,137976,
P,5,Sample X365,128161,
P,6,Sample X366,137180,
P,7,Sample X367,79818,
P,8,Sample X368,81950,
P,9,Sample X369,132601,
P,10,Sample X370,132508,
P,11,Sample X371,137309,
P,12,Sample X372,90501,
P,13,Sample X373,135790,
P,14,Sample X374,138241,
P,15,Sample X375,90222,
P,16,Sample X376,142569,
P,17,Sample X377,136833,
P,18,Sample X378,135536,
P,19,Sample X379,133316,
P,20,Sample X380,132240,
P,21,Sample X381,136847,
P,22,Sample X382,134920,
P,23,Sample X383,133282,
P,24,Sample X384,129929,
