Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,310297,
A,2,Sample X2,349065,
A,3,Sample X3,389830,
A,4,Sample X4,282152,
A,5,Sample X5,330143,
A,6,Sample X6,351149,
A,7,Sample X7,269276,
A,8,Sample X8,339036,
A,9,Sample X9,383,
A,10,Sample X10,223,
A,11,Sample X11,254,
A,12,Sample X12,254,
A,13,Sample X13,69692,
A,14,Sample X14,210646,
A,15,Sample X15,294411,
A,16,Sample X16,268204,
A,17,Sample X17,299287,
A,18,Sample X18,282432,
A,19,Sample X19,328645,
A,20,Sample X20,329604,
A,21,Sample X21,301125,
A,22,Sample X22,289325,
A,23,Sample X23,322435,
A,24,Sample X24,365732,
B,1,Sample X25,319765,
B,2,Sample X26,296275,
B,3,Sample X27,359730,
B,4,Sample X28,307809,
B,5,Sample X29,362548,
B,6,Sample X30,330607,
B,7,Sample X31,300003,
B,8,Sample X32,273220,
B,9,Sample X33,14992,
B,10,Sample X34,13615,
B,11,Sample X35,13382,
B,12,Sample X36,12437,
B,13,Sample X37,25620,
B,14,Sample X38,32815,
B,15,Sample X39,56662,
B,16,Sample X40,86196,
B,17,Sample X41,122255,
B,18,Sample X42,173163,
B,19,Sample X43,241952,
B,20,Sample X44,277043,
B,21,Sample X45,279053,
B,22,Sample X46,318442,
B,23,Sample X47,270858,
B,24,Sample X48,324964,
C,1,Sample X49,333858,
C,2,Sample X50,2269,
C,3,Sample X51,2091,
C,4,Sample X52,2512,
C,5,Sample X53,43870,
C,6,Sample X54,96011,
C,7,Sample X55,135981,
C,8,Sample X56,257245,
C,9,Sample X57,292340,
C,10,Sample X58,303779,
C,11,Sample X59,286947,
C,12,Sample X60,296775,
C,13,Sample X61,324258,
C,14,Sample X62,316671,
C,15,Sample X63,265664,
C,16,Sample X64,259022,
C,17,Sample X65,252757,
C,18,Sample X66,295026,
C,19,Sample X67,279858,
C,20,Sample X68,311270,
C,21,Sample X69,310886,
C,22,Sample X70,319349,
C,23,Sample X71,367065,
C,24,Sample X72,305513,
D,1,Sample X73,339295,
D,2,Sample X74,75211,
D,3,Sample X75,191652,
D,4,Sample X76,318783,
D,5,Sample X77,365300,
D,6,Sample X78,299458,
D,7,Sample X79,328377,
D,8,Sample X80,333938,
D,9,Sample X81,290222,
D,10,Sample X82,275711,
D,11,Sample X83,317849,
D,12,Sample X84,324588,
D,13,Sample X85,197421,
D,14,Sample X86,177675,
D,15,Sample X87,223222,
D,16,Sample X88,292014,
D,17,Sample X89,261867,
D,18,Sample X90,326869,
D,19,Sample X91,258480,
D,20,Sample X92,299845,
D,21,Sample X93,332117,
D,22,Sample X94,323452,
D,23,Sample X95,355809,
D,24,Sample X96,345780,
E,1,Sample X97,304917,
E,2,Sample X98,7282,
E,3,Sample X99,34165,
E,4,Sample X100,102457,
E,5,Sample X101,218522,
E,6,Sample X102,205017,
E,7,Sample X103,226878,
E,8,Sample X104,289648,
E,9,Sample X105,277013,
E,10,Sample X106,275777,
E,11,Sample X107,304515,
E,12,Sample X108,276839,
E,13,Sample X109,1854,
E,14,Sample X110,1642,
E,15,Sample X111,1800,
E,16,Sample X112,1965,
E,17,Sample X113,2034,
E,18,Sample X114,2298,
E,19,Sample X115,2184,
E,20,Sample X116,56944,
E,21,Sample X117,263765,
E,22,Sample X118,271295,
E,23,Sample X119,340974,
E,24,Sample X120,351860,
F,1,Sample X121,352336,
F,2,Sample X122,2170,
F,3,Sample X123,6128,
F,4,Sample X124,34156,
F,5,Sample X125,115614,
F,6,Sample X126,254624,
F,7,Sample X127,294662,
F,8,Sample X128,276480,
F,9,Sample X129,302741,
F,10,Sample X130,298309,
F,11,Sample X131,302738,
F,12,Sample X132,285464,
F,13,Sample X133,15255,
F,14,Sample X134,77688,
F,15,Sample X135,73764,
F,16,Sample X136,200593,
F,17,Sample X137,165881,
F,18,Sample X138,147719,
F,19,Sample X139,237501,
F,20,Sample X140,292448,
F,21,Sample X141,279284,
F,22,Sample X142,302573,
F,23,Sample X143,371209,
F,24,Sample X144,326209,
G,1,Sample X145,332994,
G,2,Sample X146,2871,
G,3,Sample X147,10329,
G,4,Sample X148,40379,
G,5,Sample X149,147357,
G,6,Sample X150,167461,
G,7,Sample X151,264254,
G,8,Sample X152,319841,
G,9,Sample X153,178429,
G,10,Sample X154,323494,
G,11,Sample X155,274583,
G,12,Sample X156,291633,
G,13,Sample X157,304415,
G,14,Sample X158,273878,
G,15,Sample X159,303422,
G,16,Sample X160,298973,
G,17,Sample X161,293904,
G,18,Sample X162,290520,
G,19,Sample X163,301613,
G,20,Sample X164,347131,
G,21,Sample X165,328479,
G,22,Sample X166,317713,
